,Open,High,Low,Close,Volume
2011-11-30 04:28:00,1.3323,1.33244,1.3323,1.33238,866299972.5341797
2011-11-30 04:29:00,1.3324,1.33241,1.33238,1.33241,322500000.0
2011-11-30 04:30:00,1.3324,1.33245,1.33236,1.33239,674300003.0517578
2011-11-30 04:31:00,1.33238,1.3325,1.33234,1.33247,1205899963.3789062
2011-11-30 04:32:00,1.33247,1.33252,1.33232,1.33234,802500000.0
2011-11-30 04:33:00,1.33235,1.33249,1.33228,1.33247,631399993.8964844
2011-11-30 04:34:00,1.33249,1.33252,1.33238,1.33252,863199996.9482422
2011-11-30 04:35:00,1.3325,1.33274,1.33245,1.3327,828000030.5175781
2011-11-30 04:36:00,1.3327,1.3327,1.33267,1.33269,210000000.0
2011-11-30 04:37:00,1.3327,1.333,1.33269,1.333,1551399993.8964844
2011-11-30 04:38:00,1.33302,1.33309,1.33294,1.33296,885000000.0
2011-11-30 04:39:00,1.33296,1.33297,1.33278,1.33283,1046999969.482422
2011-11-30 04:40:00,1.33285,1.33292,1.33283,1.33288,277500000.0
2011-11-30 04:41:00,1.33285,1.33289,1.33277,1.33277,341300010.68115234
2011-11-30 04:42:00,1.33277,1.33284,1.33262,1.33265,910999984.7412108
2011-11-30 04:43:00,1.33265,1.33271,1.33257,1.33259,1068899993.8964844
2011-11-30 04:44:00,1.33261,1.33267,1.33261,1.33265,120000000.0
2011-11-30 04:45:00,1.33267,1.33289,1.33267,1.33269,765100021.3623047
2011-11-30 04:46:00,1.33267,1.33283,1.33267,1.33277,473899993.8964844
2011-11-30 04:47:00,1.33277,1.3329,1.33276,1.3329,828499984.7412109
2011-11-30 04:48:00,1.33287,1.3333,1.33284,1.33323,1313300018.3105469
2011-11-30 04:49:00,1.33323,1.33323,1.33289,1.33289,1091600036.6210938
2011-11-30 04:50:00,1.3329,1.3329,1.33269,1.33269,515200004.5776367
2011-11-30 04:51:00,1.33269,1.33273,1.33263,1.33267,435000000.0
2011-11-30 04:52:00,1.33265,1.3327,1.33265,1.3327,176299991.60766602
2011-11-30 04:53:00,1.33272,1.33336,1.33272,1.33319,1436199951.171875
2011-11-30 04:54:00,1.33318,1.3332,1.33303,1.33316,843899993.8964844
2011-11-30 04:55:00,1.33316,1.33326,1.33313,1.3332,450000000.0
2011-11-30 04:56:00,1.3332,1.3332,1.33319,1.33319,217500000.0
2011-11-30 04:57:00,1.33319,1.33323,1.33301,1.33311,1312599945.0683594
2011-11-30 04:58:00,1.33311,1.33323,1.33311,1.33317,213799991.607666
2011-11-30 04:59:00,1.33319,1.33328,1.33319,1.33328,389099998.4741211
2011-11-30 05:00:00,1.3333,1.33331,1.33327,1.33328,227800006.86645508
2011-11-30 05:01:00,1.3333,1.3333,1.33315,1.33315,524099998.4741211
2011-11-30 05:02:00,1.33316,1.33329,1.33306,1.33324,848099975.5859375
2011-11-30 05:03:00,1.33324,1.33332,1.33308,1.33317,1255999984.741211
2011-11-30 05:04:00,1.33317,1.33367,1.33317,1.3336,1369299926.7578125
2011-11-30 05:05:00,1.3336,1.33402,1.33358,1.33391,1795399932.861328
2011-11-30 05:06:00,1.33389,1.33389,1.33377,1.33385,2028399963.3789065
2011-11-30 05:07:00,1.33383,1.33397,1.33383,1.33397,1600800018.3105469
2011-11-30 05:08:00,1.33395,1.33397,1.33385,1.33394,934100036.6210938
2011-11-30 05:09:00,1.33394,1.33419,1.33394,1.33404,1863300018.3105469
2011-11-30 05:10:00,1.33404,1.33404,1.3336,1.33363,1463200073.2421875
2011-11-30 05:11:00,1.33368,1.33374,1.33354,1.33356,1723800048.828125
2011-11-30 05:12:00,1.33355,1.33366,1.33351,1.33366,1121399993.8964844
2011-11-30 05:13:00,1.33364,1.33364,1.3333,1.33351,1082799987.7929688
2011-11-30 05:14:00,1.33354,1.33361,1.33347,1.33348,978399963.3789062
2011-11-30 05:15:00,1.3335,1.33393,1.33345,1.33391,1320299987.7929688
2011-11-30 05:16:00,1.33388,1.3339,1.33356,1.33369,1699900054.9316406
2011-11-30 05:17:00,1.33369,1.33374,1.33364,1.33365,531100006.1035156
2011-11-30 05:18:00,1.33366,1.3337,1.33351,1.33359,877799987.7929688
2011-11-30 05:19:00,1.33361,1.33372,1.33361,1.33368,579599990.8447266
2011-11-30 05:20:00,1.33368,1.33376,1.33361,1.33367,1056999969.482422
2011-11-30 05:21:00,1.33368,1.33369,1.3336,1.33364,1048099975.5859376
2011-11-30 05:22:00,1.33364,1.33381,1.33361,1.33372,972900009.1552734
2011-11-30 05:23:00,1.33371,1.33386,1.33364,1.33385,871800003.0517578
2011-11-30 05:24:00,1.33385,1.33389,1.33381,1.33385,470400009.15527344
2011-11-30 05:25:00,1.33387,1.33389,1.33385,1.33389,262600002.2888184
2011-11-30 05:26:00,1.33389,1.33405,1.33385,1.33385,1471199951.171875
2011-11-30 05:27:00,1.33386,1.33393,1.33381,1.33385,343100013.73291016
2011-11-30 05:28:00,1.33383,1.33388,1.33353,1.33353,991500015.2587892
2011-11-30 05:29:00,1.33353,1.33367,1.33351,1.33351,785599975.5859375
2011-11-30 05:30:00,1.33351,1.33372,1.33351,1.33359,878799972.5341797
2011-11-30 05:31:00,1.33359,1.33378,1.33359,1.33375,839400024.4140625
2011-11-30 05:32:00,1.33375,1.33391,1.33375,1.33387,1193899993.8964844
2011-11-30 05:33:00,1.33385,1.33387,1.3337,1.33372,674499969.4824219
2011-11-30 05:34:00,1.33371,1.33374,1.33329,1.33331,997600021.3623048
2011-11-30 05:35:00,1.33331,1.33348,1.33326,1.33348,1004700012.2070312
2011-11-30 05:36:00,1.33348,1.33349,1.33334,1.33336,550000000.0
